⌚	Armbanduhr	Armbanduhr|Uhr|Zeit
🪟	Fenster	Aussicht|durchsichtig|Fenster|Fensterrahmen|frische Luft|Glas|Haus|lüften|Öffnung|Rahmen
🪠	Saugglocke	Abfluss|Gummiglocke|Klempner|Klo|Pömpel|Pümpel|Sanitär|Saugglocke|Saugglocken|Toilette|verstopft|WC|Werkzeug
🪡	Nähnadel	einfädeln|Faden|Nadel|Nadel und Faden|nähen|Nähnadel|Nähte|schneidern|Stiche|sticken
🪢	Knoten	Achterknoten|binden|Knoten|Schnur|Schnürsenkel|Seemansknoten|Segelboot|segeln|Seil|verknoten|zusammendrehen
🪣	Eimer	Behälter|Bottich|Eimer|Kübel|Wassereimer
🪤	Mausefalle	anlocken|Falle|Käse|Maus|Mausefalle|Mäusefalle
🪥	Zahnbürste	Badezimmer|Bürste|Körperpflege|Mundhygiene|putzen|sauber|Zahnbürste|Zähne|Zahnhygiene
🪦	Grabstein	Friedhof|Grab|Grabstein|RIP|tot
🪧	Protestschild	Ankündigung|Bekanntmachung|Demonstration|Hinweis|Mahnwache|Plakat|Protest|Protestschild|Schild
🪨	Felsen	Felsen|felsig|hart|Natur|schwer|Stein|steinig
🪩	Discokugel	Disco|Discokugel|Lichtreflexe|Party|Spiegel|Spiegelkugel|Tanz|tanzen
🪪	Ausweis	Ausweis|Dokument|Führerschein|Karte|Pass|Personalausweis|Plakette|Reisepass
🪫	schwache Batterie	Akku|Akku fast leer|Akku leer|aufladen|Batterie|Batterie fast leer|Batterie leer|Elektronik|Ladestand|niedriger Akkustand|schwache Batterie|schwacher Akku
🪬	Hamsa	Amulett|Auge in offener Hand|Fatima|Glückssymbol|Hamsa|Hand|jüdisch|Maria|muslimisch|Schutz
🪭	Faltfächer	Abkühlung|Fächer|Faltfächer|flirten|heiß|kühlen|Luft zufächeln|schüchtern|spanisch|Tanz|warm
🪮	Haarkamm	afro|Afro|Afro Pick|Haare|Haarkamm|Kamm|kämmen
🪯	Khanda	Deg Tegh Fateh|Glaube|Khalsa|Khanda|Khanda-Emblem|Religion|Schwert|Sikh|Sikhismus
🪰	Fliege	Fliege|fliegen|Insekt|Krankheit|Made|Mücke|Plage|Schmeißfliege|Tier|verwesen
🪱	Wurm	Insekt|Natur|Parasit|Regenwurm|Ringelwurm|Tier|Wurm
🪲	Käfer	Insekt|Käfer|Krabbeltier|Minzkäfer|Tier|Wanze
🪳	Kakerlake	Insekt|Käfer|Kakerlake|krabbeln|Krabbeltier|Küchenschabe|La Cucaracha|Schabe|Tier
🪴	Topfpflanze	Dekor|Grünpflanze|Haus|Pflanze|pflegen|Topfpflanze|wachsen|Zimmerpflanze
🪵	Holz	Baumstamm|Feuerholz|Holz|holzig|Holzscheite|Lagerfeuer
🪶	Feder	Feder|federleicht|Federn|fliegen|Gefieder|leicht|Vogelfeder
🪷	Lotusblüte	Blume|Buddhismus|Erleuchtung|Gleichmut|Hinduismus|Liebe|Lotosblume|Lotusblüte|Pflanze|Reinheit|Ruhe|Schönheit
🪸	Koralle	Great Barrier Reef|Klimawandel|Koralle|Korallenriff|Meer|Ozean|Riff|Tier
🪹	leeres Nest	Heim|leeres Nest|Nest|Nestbau|nisten|Vogelnest|Zuhause
🪺	Nest mit Eiern	Heim|Nest|Nest mit blauen Eiern|Nest mit Eiern|Nestbau|nisten|Vogelnest|Zuhause
🪻	Hyazinthe	blaue Wiesenlupine|blühen|Blume|Blüte|Frühling|Hyazinthe|Lavendel|lila|Löwenmaul|Lupine|Pflanze|violett
🪼	Qualle	autsch|brennen|Gallert|Glibber|Meer|Meeresbewohner|Meerestier|Nesseltier|Ozean|Qualle|Tentakeln
🪽	Flügel	Engel|Engelsflügel|Federn|fliegen|Flug|Flügel|himmlisch|Mythologie|Vogel
🪾	kahler Baum	dürr|kahl|kahler Baum|karg|trocken|Winter
🪿	Gans	blöd|dumm|dumme Gans|Gans|Gänserich|Ganter|Geflügel|schnattern|Tier|Vogel
🫀	Herz (Organ)	Anatomie|Herz|Herzschlag|Körper|Körperteil|Mensch|Organ|Puls|schlagen
🫁	Lunge	Atem|atmen|ausatmen|einatmen|Körper|Körperteil|Lunge|Lungenflügel|Mensch|Organ
🫂	sich umarmende Personen	Abschied|Danke|drücken|Drücker|Freundschaft|Hallo|Liebe|sich umarmende Personen|Tschüss|Umarmung
🫃	schwangerer Mann	aufgebläht|Bauch|dick|Person|schwanger|schwangerer Mann|überfressen|zu viel gegessen
🫄	schwangere Person	aufgebläht|Bauch|dick|dicker Bauch|Person|schwanger|schwangere Person|Schwangerschaft|überfressen|zu viel gegessen
🫅	Person mit Krone	adelig|König|Königin|königlich|königliche Hoheit|Krönung|Monarch|Monarchin|Person|Person mit Krone|Prinz|Prinzessin
🫆	Fingerabdruck	Fingerabdruck|Forensik|Identität|Sicherheit
🫈	haariges Wesen	Bigfoot|Fabelwesen|Gigant|haarig|Kryptid|Riese|Sasquatch|Wald|wilder Mann|Woodwose|Yeti
🫍	Orca	Meer|Meeressäuger|Meerestier|Orka|Ozean|Wal
🫎	Elch	Elch|Geweih|Säugetier|Tier
🫏	Esel	austreten|Dickschädel|Dummkopf|Esel|Maultier|Säugetier|störrisch|stur|Tier
🫐	Blaubeeren	Beere|blau|Blaubeere|Blaubeeren|Essen|Frucht|Heidelbeere|Heidelbeeren|Lebensmittel|Nahrung|Obst
🫑	Paprika	Essen|Gemüse|Gemüsepaprika|grün|Lebensmittel|Nahrung|Paprika|Peperoni
🫒	Olive	Essen|grün|Lebensmittel|Nahrung|Olive|Olivenöl|Olivenzweig|Zweig
🫓	Fladenbrot	Arepa|Brot|Essen|Fladenbrot|Lavasch|Lebensmittel|Naan|Nahrung|Pita
🫔	Tamale	Burrito|eingewickelt|Essen|Lebensmittel|mexikanisch|Streetfood|Tamale|Wrap
🫕	Fondue	Essen|Fondue|geschmolzen|Käse|Schokolade|schweizerisch|Topf
🫖	Teekanne	Getränk|Kanne|Lebensmittel|Tee|Tee brühen|Teekanne|Teekrug|trinken
🫗	Flüssigkeit ausgießen	ausgießen|ausleeren|Flüssigkeit ausgießen|Getränk|gießen|Glas|leer|Missgeschick|tropfende Flüssigkeit|verschütten
🫘	Bohnen	Bohne|Bohnen|Essen|Gemüse|Hülsenfrucht|Kidney-Bohne|Kidneybohne|Lebensmittel
🫙	Einmachglas	Einmachglas|Einweckglas|Essen|Gewürzglas|leer|leerer Behälter|leeres Einweckglas|leeres Glas|Marmeladeglas|Schraubglas
🫚	Ingwer	gesund|Gewürz|Ginger Ale|Ingwer|Ingwerbier|scharf|Wurzel|würzig
🫛	Erbsenschote	Bohne|Edamame|Erbse|Erbsen|Erbsenschote|Essen|Gemüse|Hülsenfrucht|Hülsenfrüchte|Schote
🫜	Wurzelgemüse	Bete|Garten|Gemüse|Rote Bete|Rübe|Wurzel
🫟	Spritzer	Farbe|Fleck|Holi|Klecks|Spritzer|Tinte
🫠	schmelzendes Gesicht	auflösen|beschämt|flüssig|Gesicht|Hitze|Sarkasmus|sarkastisch|schmelzen|schwitzen|Smiley|verschwinden
🫡	salutierendes Gesicht	Aye|Gesicht|jawohl|jawoll|Militär|ok|Respekt|salutieren|Smiley|zu Befehl
🫢	Gesicht mit offenen Augen und Hand über dem Mund	Augen|Erschrecken|Erstaunen|Furcht|geschockt|Gesicht|Hand|Mund|offen|OMG|Schock|Smiley|Überraschung|Unglauben|Verlegenheit
🫣	Gesicht mit durch die Finger linsendem Auge	Auge|Finger|gebannt|Gesicht|hervorlugen|linsen|schüchtern|Smiley|spähen|starren|verlegen
🫤	Gesicht mit schrägem Mund	enttäuscht|genervt|Gesicht|hmpf|keine Ahnung|langweilig|skeptisch|Smiley|unsicher|zweifelnd
🫥	gestricheltes Gesicht	depressiv|deprimiert|egal|Gesicht|gestrichelt|introvertiert|Smiley|traurig|unsichtbar|verschwinden|verstecken
🫦	auf Lippe beißen	Angst|ängstlich|beißen|besorgt|flirten|flirtend|Kuss|Lippenstift|Mund|nervös|sexy|unbehaglich|Zähne
🫧	Blasen	Blasen|Perlen|reinigen|Schaum|schweben|Seife|Seifenblasen|unter Wasser|Wasserblasen
🫨	zitterndes Doppelgesicht	Doppelgesicht|Erdbeben|Gesicht|OMG|Panik|Schock|Smiley|überrascht|verrückt|vibrieren|wow|zittern
🫩	Gesicht mit Augenringen	Augenringe|erschöpft|Gesicht|müde|schläfrig|Smiley|übermüdet
🫪	verzerrtes Gesicht	Angst|ängstlich|aufgedunsen|besorgt|Panik|panisch|schockiert|überrascht
🫯	Kampfwolke	Handgemenge|Kampf|Krawall|Prügelei|Rauferei|Schlägerei|Streit|Wortgefecht
🫰	Hand mit gekreuztem Zeigefinger und Daumen	Daumen|Finger|Fingerherz|gekreuzt|Geld|Hand|Handgeste|Kosten|teuer|Zeigefinger
🫱	nach rechts weisende Hand	ausgestreckt|ausstrecken|Hand|Hände|Händeschütteln|rechts|reichen|schütteln|weisen
🫲	nach links weisende Hand	ausgestreckt|ausstrecken|Hand|Hände|Händeschütteln|links|reichen|schütteln|weisen
🫳	Hand mit Handfläche nach unten	abweisen|fallen lassen|fallenlassen|Hand|Handfläche|Handgeste|hau ab|unten|verscheuchen|wegscheuchen|wegschicken
🫴	Hand mit Handfläche nach oben	anbieten|Angebot|darbieten|einladen|entgegenstrecken|Hand|Handfläche|Handgeste|kommen|locken|oben|reichen
🫵	auf Betrachter zeigender Zeigefinger	deuten|du|Finger|Fingerzeig|Hand|Handgeste|Sie|stupsen|Zeigefinger|zeigen
🫶	Hände, die Herz bilden	<3|Finger|Geste|Hände|Händeherz|Handgeste|Handherz|hdl|Herz|Liebe
🫷	nach links schiebende Hand	drücken|Halt|Hand|High 5|High five|links|Moment|nein|schieben|Schluss|Stopp|warte mal|warten
🫸	nach rechts schiebende Hand	drücken|Halt|Hand|High 5|High five|Moment|nein|rechts|schieben|Schluss|Stopp|warte mal|warten
